889680, 2017-02-08, 06:56:38, 10.8
890570, 2017-02-08, 06:56:39, 30.3
896110, 2017-02-08, 06:56:39, 32.5
895710, 2017-02-08, 06:56:39, 3.1
890530, 2017-02-08, 06:56:39, 67.6
890540, 2017-02-08, 06:56:39, 18.7
889630, 2017-02-08, 06:56:39, 53.0
889680, 2017-02-08, 06:56:39, 10.9
889680, 2017-02-08, 06:56:40, 11.0
890530, 2017-02-08, 06:56:40, 67.4
890540, 2017-02-08, 06:56:40, 18.7
890570, 2017-02-08, 06:56:40, 30.4
895710, 2017-02-08, 06:56:40, 3.0
889630, 2017-02-08, 06:56:40, 52.8
896110, 2017-02-08, 06:56:40, 32.3
895710, 2017-02-08, 06:56:41, 3.1
890530, 2017-02-08, 06:56:41, 67.6
890540, 2017-02-08, 06:56:41, 18.7
890570, 2017-02-08, 06:56:41, 30.3
889630, 2017-02-08, 06:56:41, 53.0
896110, 2017-02-08, 06:56:41, 32.2
889680, 2017-02-08, 06:56:41, 11.1
896110, 2017-02-08, 06:56:42, 32.3
889680, 2017-02-08, 06:56:42, 11.3
890570, 2017-02-08, 06:56:42, 30.4
895710, 2017-02-08, 06:56:42, 3.3
890530, 2017-02-08, 06:56:42, 67.4
890540, 2017-02-08, 06:56:42, 18.8
889630, 2017-02-08, 06:56:42, 52.8
889680, 2017-02-08, 06:56:43, 11.4
890570, 2017-02-08, 06:56:43, 30.3
889630, 2017-02-08, 06:56:43, 53.0
896110, 2017-02-08, 06:56:43, 32.5
895710, 2017-02-08, 06:56:43, 3.1
890530, 2017-02-08, 06:56:43, 67.2
890540, 2017-02-08, 06:56:43, 18.9
889630, 2017-02-08, 06:56:44, 52.8
890530, 2017-02-08, 06:56:44, 67.4
890540, 2017-02-08, 06:56:44, 18.8
896110, 2017-02-08, 06:56:44, 32.3
890570, 2017-02-08, 06:56:44, 30.1
889680, 2017-02-08, 06:56:44, 11.3
895710, 2017-02-08, 06:56:44, 3.0
895710, 2017-02-08, 06:56:45, 3.1
896110, 2017-02-08, 06:56:45, 32.2
890530, 2017-02-08, 06:56:45, 67.2
890540, 2017-02-08, 06:56:45, 18.7
889680, 2017-02-08, 06:56:45, 11.1
889630, 2017-02-08, 06:56:45, 52.5
890570, 2017-02-08, 06:56:45, 30.3
889630, 2017-02-08, 06:56:46, 52.3
895710, 2017-02-08, 06:56:46, 3.0
890530, 2017-02-08, 06:56:46, 67.1
890540, 2017-02-08, 06:56:46, 18.8
889680, 2017-02-08, 06:56:46, 11.3
896110, 2017-02-08, 06:56:46, 32.3
890570, 2017-02-08, 06:56:46, 30.1
896110, 2017-02-08, 06:56:47, 32.2
889630, 2017-02-08, 06:56:47, 52.5
890570, 2017-02-08, 06:56:47, 30.3
889680, 2017-02-08, 06:56:47, 11.4
895710, 2017-02-08, 06:56:47, 2.9
890530, 2017-02-08, 06:56:47, 67.2
890540, 2017-02-08, 06:56:47, 18.9
889630, 2017-02-08, 06:56:48, 52.8
889680, 2017-02-08, 06:56:48, 11.5
896110, 2017-02-08, 06:56:48, 32.1
890570, 2017-02-08, 06:56:48, 30.1
890530, 2017-02-08, 06:56:48, 67.1
890540, 2017-02-08, 06:56:48, 18.8
895710, 2017-02-08, 06:56:48, 2.7
895710, 2017-02-08, 06:56:49, 2.6
896110, 2017-02-08, 06:56:49, 32.0
889630, 2017-02-08, 06:56:49, 52.5
890570, 2017-02-08, 06:56:49, 30.0
890530, 2017-02-08, 06:56:49, 66.9
890540, 2017-02-08, 06:56:49, 18.7
889680, 2017-02-08, 06:56:49, 11.6
890570, 2017-02-08, 06:56:50, 29.9
890530, 2017-02-08, 06:56:50, 66.7
890540, 2017-02-08, 06:56:50, 18.8
889630, 2017-02-08, 06:56:50, 52.8
895710, 2017-02-08, 06:56:50, 2.7
896110, 2017-02-08, 06:56:50, 32.1
889680, 2017-02-08, 06:56:50, 11.5
890530, 2017-02-08, 06:56:51, 66.9
890540, 2017-02-08, 06:56:51, 18.9
896110, 2017-02-08, 06:56:51, 32.2
895710, 2017-02-08, 06:56:51, 2.6
890570, 2017-02-08, 06:56:51, 29.8
889630, 2017-02-08, 06:56:51, 53.0
889680, 2017-02-08, 06:56:51, 11.4
895710, 2017-02-08, 06:56:52, 2.7
890530, 2017-02-08, 06:56:52, 67.1
896110, 2017-02-08, 06:56:52, 32.3
